,emotion,cos_sim,amt_dialog_id,amt_dialog,os_dialog_id,os_dialog
1586,Agreeing,0.9297,6613537,"- Oh , that 's really bad .",5534779,"- Once again , to your doom .
- Scoob ! This isn 't good !
- No . Not good .
- But this is worse !"
1587,Agreeing,0.9297,7526221,- That 's right . Very good !,1123170,"- It 's delicious .
- It 's delicious ! Thank you !
- Oh good !"
1588,Agreeing,0.9295,3169022,- I understand .,6486977,"- They 're expecting you
- I understand"
1589,Agreeing,0.9293,6613537,"- Oh , that 's really bad .",8268196,"- Sorry . Accident .
- You 're so bad !"
1590,Agreeing,0.9292,7526221,- That 's right . Very good !,688075,"- Was I right ?
- Yes , it was you .
- That was good ."
1591,Agreeing,0.9292,8765039,"- All of a sudden , I don 't know what to say .
- Neither do I.",4630726,"- Look , man , I 'm sorry . I 'm just joking around .
- No , you 're right . I am obsessed . I mean , even if we do track Heather down , which is a pretty big "" if , why would she give a damn if I 'm one of the ones who found her ?
- I don 't know , man . Maybe you got to look at it like it 's about the getting there more than the being there , once you 're there .
- I have no idea what you just said .
- Neither do I ."
1592,Agreeing,0.9292,7087478,- You were right !,5266581,"- What did he say ? He was pleased , very much so .
- Congratulations , sir .
- I didn 't do it alone .
- I 'm sorry about the telegram . That was very foolish of me . It was , but people make mistakes . A man needs to have the courage of his convictions .
- I knew we 'd get Darmody eventually .
- You were right ."
1593,Agreeing,0.9292,6613537,"- Oh , that 's really bad .",6888124,"- Yes , you 're here .
- Afraid ? Not afraid .
- Happy ... very happy .
- It hardly seems true .
- It 's been so awful .
- So awful ."
1594,Agreeing,0.929,2061843,"- Isn 't this nice ?
- Yeah , it 's great .",5901129,"- Mr. Church ?
- Two Apple Jacks . Right on time .
- You 're welcome . Enjoy .
- Oh , that looks wonderful ."
1595,Agreeing,0.9288,2061843,"- Isn 't this nice ?
- Yeah , it 's great .",910250,"- We 'll take it to the next level .
- All right . That 's good .
- That 's nice . Yeah ?"
1596,Agreeing,0.9288,3169022,- I understand .,3592318,"- Musashi You go over there
- I understand"
1597,Agreeing,0.9287,3169022,- I understand .,3570135,"- Let 's draw it away Let Musashi to come up here
- I understand"
1598,Agreeing,0.9286,2061843,"- Isn 't this nice ?
- Yeah , it 's great .",3652044,"- There You Go , Gentlemen .
- Thank You .
- Whoo !
- Beautiful , Huh ? What Do You Think ?
- Is This Beautiful Or What ?
- This Is Great ."
1599,Agreeing,0.9286,7526221,- That 's right . Very good !,8530251,"- You 're back .
- Good . Excellent ."
1600,Agreeing,0.9285,915228,- Yeah I know .,5666586,"- You 'll see him again .
- Yeah . I know ."
1601,Agreeing,0.9285,7526221,- That 's right . Very good !,4658432,"- Ok Put the hat on ! Alright Smile !
- That 's good"
1602,Agreeing,0.9285,2153082,"- You mean that ...
- Okay , I know .",2991018,"- He got deported . They 're throwing him in some Mexican jail .
- Things were going great . Tony , they were going real great . The FBI probably got some Mexican government guy to ... I don 't think he 's gonna be a problem . No ? No .
- Okay , so , he 's gotta go to ... Washington for this stupid ... Senate testimony thing .
- Christ , can you imagine them bringing him up there again ?
- No . No , I can 't . I don 't think he 's gonna be a problem . I mean , what the hell is there to say after all these years , right ? I mean ... he 's not gonna go back to- - to PhyIIis .
- Oh , I don 't want to hear about that broad . It 's not gonna be like last time , right ?
- No . Listen to me , Butch . It ain 't gonna be like last time .
- You know that , don 't you ?
- Yeah yeah , I know ."
1603,Agreeing,0.9284,6613537,"- Oh , that 's really bad .",6760629,"- Follow me ... You don 't trust me , Your Excellency .
- That 's bad !"
1604,Agreeing,0.9283,7526221,- That 's right . Very good !,1262511,"- Open tee bioscope Teeny weeny triscope The lady and her groom In the lord 's drawing room
- All right . Very good ."
1605,Agreeing,0.9283,2061843,"- Isn 't this nice ?
- Yeah , it 's great .",6006634,"- How 's things ? Fine , fine . Long time no see . Yeah . Are you enjoying yourself ?
- Yeah , it 's great ."
1606,Agreeing,0.9282,7648542,"- Mom , can I ride with you ?
- sure .",699536,"- Hey . You mind if I come in ?
- Sure ."
1607,Agreeing,0.9282,6613537,"- Oh , that 's really bad .",3204641,"- Oh no , cigarette !
- Very bad !"
1608,Agreeing,0.9282,7526221,- That 's right . Very good !,2427119,"- So nice weather right now .
- It is , yes . It 's really good .
- True . Very good ."
1609,Agreeing,0.9281,7526221,- That 's right . Very good !,2317161,"- L 'll send you to Budapest . They 'll know what to do with you .
- Thanks . That 's it .
- Well , come on ! One by one !
- That 's excellent ."
1610,Agreeing,0.928,7526221,- That 's right . Very good !,3409855,"- Guys , a little to the right ! Straight back ! Bring it back !
- That 's good !"
1611,Agreeing,0.9278,7526221,- That 's right . Very good !,714291,"- That 's it ! It 's working .
- It 's working ?
- You can hear it .
- It 's very good ."
1612,Agreeing,0.9276,7526221,- That 's right . Very good !,4213699,"- I thought it was in here .
- Relax . All right , you 'll find . Here is . Here it is . The cheque better be good , boy .
- Is good ."
1613,Agreeing,0.9275,6613537,"- Oh , that 's really bad .",2735595,"- He has done nothing
- That is very bad !"
1614,Agreeing,0.9275,7526221,- That 's right . Very good !,4301017,"- I 'm I 'm so sorry . First of all , you have to understand something , okay ? My friend Jeff did not know - did not know that there was a penis in that box when he picked that up from the bakery . He called in the order and they gave him the box . He didn 't look inside the box .
- How 's Keysha ?
- I finally got her to sleep . She 's upset .
- Of course . Of course she 's upset .
- Understandable . To see a big penis like that - what are you gonna do ? She 's a little girl .
- Okay , you know ... the smoking-in-the-house I wanted to talk to you about .
- Um , is there any way maybe you would consider smoking ... outside on occasion ?
- How 's the cake ?
- Pretty good . Mmm .
- Pretty ... pretty good ."
1615,Agreeing,0.9273,7355603,"- Yeah , I will .",7631521,"- Watch out for the hairpins .
- Yeah , I will ."
1616,Agreeing,0.9272,7526221,- That 's right . Very good !,518254,"- Hey ! This is delicate .
- That 's good , too ."
1617,Agreeing,0.9272,7526221,- That 's right . Very good !,726102,"- Mel and I had been together five years and I don 't know how many times I 've heard "" I love you , "" but it wasn 't until that night ... The blood rig should be good now . Be ready to go in two minutes .
- That was amazing !
- Yeah , good , right ?
- It 's actually going well ."
1618,Agreeing,0.9271,915228,- Yeah I know .,6212858,"- I promise this will pass for the real drive . I 'm glad you came to me . You know , you can always come to me .
- Yeah . I know ."
1619,Agreeing,0.9271,7526221,- That 's right . Very good !,1219562,"- Did that register ?
- P-Perry , did you get that ?
- Yeah , we got something . It 's just not much , but ... did it work ? Is he gonna make it ? Yeah , it worked for a second . Devin , come look at this .
- Devin . What ?
- Come look at this .
- L-look .
- Yeah , yeah . We got all of it .
- This is good ."
1620,Agreeing,0.9269,6877706,"- Well , have you discovered anything ?
- I certainly did .",2736643,"- Did you find it ?
- Yeah . Yeah , I sure did ."
1621,Agreeing,0.9269,2061843,"- Isn 't this nice ?
- Yeah , it 's great .",7228219,"- Traveling saleslady ? Uh-huh .
- Staying long ?
- Long enough to cover this territory .
- Well , there 's one hotel in town - special rates for salesmen .
- What are you selling ?
- Angel Foam .
- Champagne . Best on the market .
- What are the , uh - What are the pens for ?
- Customers .
- Well , how about a sample ? Uh-uh .
- No free sips .
- I , uh I 'm pretty good at popping the cork if the vintage is right . Angel Foam - never heard of it . It 's an exclusive line I 'm introducing in this state .
- Domestic or imported ?
- Angel Foam goes down like liquid gold ... and it comes up like slow dynamite ... for the man of taste . If you can afford it .
- How much for a bull 's-eye ? Ten dollars a bottle .
- Ten dollars ? Well , that 's dirt cheap .
- Well , we practically give it away to the first customer . It 's called "" goodwill "" in business .
- Ah , that 's wonderful !
- Just wonderful ."
1622,Agreeing,0.9269,7526221,- That 's right . Very good !,4969531,"- If he could tell his whole story through music , he would rather that than to have to talk about it .
- That 's cool ? Check , yeah .
- Yeah , that 's good ."
1623,Agreeing,0.9267,950570,"- Yeah , I will .",7449791,"- Do whatever you want !
- Of course , I will ."
1624,Agreeing,0.9266,3169022,- I understand .,6206255,"- Lewis ! And don 't trust your cops neither , all right ? They 'll frame you for that shit just cos they can .
- Okay , I get it . Listen to your older brother .
- All right . I understand ."
1625,Agreeing,0.9266,6613537,"- Oh , that 's really bad .",6062972,"- You look really gross in this dim lighting . I hate being here with you , now , in this very moment . It 's really awful . Right this second .
- It 's terrible ."
1626,Agreeing,0.9266,6613537,"- Oh , that 's really bad .",6654242,"- Dorsett .
- I ... Sorry . That got in by accident . As I understand it , the man was just last week released from an insane asylum . Poor devil. lt 's not his fault . It 's not your fault either ... Thank you very much .
- Embarrassing , what can I say ?
- It was tewwible , Mr. Zitz .
- Terrible .
- Terrible , just terrible .
- Terrible , terrible , terrible ."
1627,Agreeing,0.9266,7526221,- That 's right . Very good !,8779433,"- You also ? do in that Also only helps
- Oh is good"
1628,Agreeing,0.9266,3169022,- I understand .,1661372,"- Kirari-san ... Kuwamoto Teruko-san . Kuwamoto ... Tsuchiya Koichi wants to meet you . Have you decided yet ? my self living in his heart will die . It doesn 't matter if I 've forgotten . I want to see him ... to move on .
- I understand ."
1629,Agreeing,0.9266,7526221,- That 's right . Very good !,6080864,"- Two , three ... Push ! And breathe !
- That 's good , very good ."
1630,Agreeing,0.9266,3169022,- I understand .,4180151,"- I 'm fine
- Yes , I understand"
1631,Agreeing,0.9266,5346512,"- It 's- - would you like a cup of tea ?
- That 'd be lovely .",5932150,"- Shall I fix us a drink ?
- That would be lovely ."
1632,Agreeing,0.9265,7526221,- That 's right . Very good !,5834710,"- How are you ? That 's good .
- That 's good . It 's really is ."
1633,Agreeing,0.9265,950570,"- Yeah , I will .",969381,"- We 'll get him .
- Yeah , yeah , we will ."
1634,Agreeing,0.9264,7526221,- That 's right . Very good !,4352172,"- So it 's off to New York .
- Yeah , exactly what you wanted .
- Actually , it 's even better .
- Yeah , why ? Because you 're coming . Oh , and also because Jeffrey wants to introduce me to some artist managers that need dancers for music videos .
- Yeah , that 's cool .
- That 's good , right ? Yeah ."
1635,Agreeing,0.9264,7526221,- That 's right . Very good !,1265746,"- So we 're good ?
- Yeah . We 're good ."
1636,Agreeing,0.9264,7526221,- That 's right . Very good !,1338401,"- So we 're good , right ?
- We 're good ."
1637,Agreeing,0.9264,7526221,- That 's right . Very good !,597928,"- I sure do , son . You know I love you too , right ?
- Yeah . Good ."
1638,Agreeing,0.9264,950570,"- Yeah , I will .",8749480,"- Bye . Bye . Call me if you need anything .
- Yeah , I will ."
1639,Agreeing,0.9264,6613537,"- Oh , that 's really bad .",7575405,"- These are terrible times , Sofka .
- Terrible ."
1640,Agreeing,0.9263,7526221,- That 's right . Very good !,6257909,"- Come on , girls . It 's not that bad . We can make Christmas decorations out of straw .
- Any news from Dad ?
- Girls , you know that Christmas is an international arms dealer 's busiest time . It 'd take a miracle to get him here now .
- There is one more thing we could do . Release a song online called Daddy , Come Home For Christmas .
- I 've already written it .
- This is good , Bea .
- Really good ."
1641,Agreeing,0.9262,6613537,"- Oh , that 's really bad .",5632480,"- Look what I have here . She gave him no problems . She 's not as tough as ever .
- A bit sad really .
- That 's not good ."
1642,Agreeing,0.9262,3169022,- I understand .,3848566,"- Shelton .
- Yeah , yeah . I understand . For you ."
1643,Agreeing,0.9261,915228,- Yeah I know .,4139495,"- Thank god ! That man has a knife !
- Yeah , I know ."
1644,Agreeing,0.9261,950570,"- Yeah , I will .",4371270,"- Call ... call me when you get there .
- Yeah . Of course I will ."
1645,Agreeing,0.9261,7526221,- That 's right . Very good !,1706623,"- Whoa , McKenna , whoa ! Jamie !
- You nearly gave me a heart attack , you wanker .
- When did we start sounding the alarm ?
- Today .
- And when did we get new friends ?
- Keeping her safe .
- Obvious enough . Renee , meet Jamie , my sometimes housemate , who I 'm guessing missed his flight . Jessie . Good night . Dylan took your room , so you can bunk with him .
- All right ! Bunk buddies . See you up there .
- This is David McKenna . Everything 's fine , false alarm .
- Want some Lucky Charms ?
- I know this isn 't any of my business , but you all right , Renee ? I 'm a coozer .
- A coozer ? It 's coke and booze together . I made it up , do you like it ?
- Yeah . I don 't think McKenna coozes much . He 's such a quitter . So what 's you 're ... Who do you ... What 's your deal ?
- I 'm actually a lot more interested in you right now . I 'll bet . I need a place to detox for a few days till I go to rehab and McKenna is donating to my charity .
- Nosy . I didn 't mean to be nosy . I 'm just really ...
- That 's really brave . I 'm happy for you .
- Why doesn 't he have knives ?
- So what do you do ?
- I am a rep for a surf company . McKenna 's nice enough to let me crash here when I 'm in town .
- You 're like a traveling salesman ? Yeah . Legit job .
- Office . Grown-up stuff . But what I really wanna do is write .
- You like Paper Route ?
- They 're playing at the Florida Music Fest tomorrow .
- Yeah . We should go . You think the warden will let you out ?
- I will dig my way out .
- Right on . So you out tomorrow morning or ... Actually the day after , if that 's okay with you .
- Yeah , the more the merrier .
- All right , thank you .
- No problem . Appreciate it . And congratulations on your new life , Renee . Good night . Bye !
- Pretty good ."
1646,Agreeing,0.9261,7526221,- That 's right . Very good !,7150675,"- WHAT DO YOU WANT ?
- CAN 'T I VISIT AN OLD FRIEND ?
- DON 'T BE PLAYING THAT GAME WITH ME , LOGAN ANDREWS . OUR FRIENDSHIP WAS OVER AS SOON AS YOUR FANCY FRIENDS DIDN 'T APPROVE OF YOU BRINGING YOUR OWN DARK MEAT TO THAT CLUB BARBECUE .
- TOUCH ? , PSYCHE . THEN I SHALL CUT TO THE CHASE , WHICH , UNFORTUNATELY , ISN 'T GOING TOO WELL . IT SEEMS THERE 'S A CERTAIN YOUNG LADY WHO DOESN 'T FIND ME QUITE AS CHARMING AS YOU ONCE DID , AND I WAS THINKING MAYBE YOU COULD ... DO SOMETHING ?
- STRICTLY BUSINESS , OF COURSE .
- ALL RIGHT .
- GOOD ."
1647,Agreeing,0.9261,3169022,- I understand .,2456213,"- He 's trying to say they 're Christians .
- A Bible ! How about that ?
- We understand .
- We ... understand ."
1648,Agreeing,0.926,5741897,"- If there was something wrong , you 'd tell me ... right ?
- Sure .",5559972,"- Put it on the ground .
- Can I say it now ?
- Sure ."
1649,Agreeing,0.9259,7355603,"- Yeah , I will .",7393214,"- Take it easy now .
- Yeah , I will ."
1650,Agreeing,0.9258,7526221,- That 's right . Very good !,8785422,"- A nice big smile ! OK .
- Very good !"
1651,Agreeing,0.9258,7526221,- That 's right . Very good !,4963980,"- You look beautiful tonight , baby doll . As usual .
- Yeah , that 's good ."
1652,Agreeing,0.9257,7355603,"- Yeah , I will .",4926464,"- You gotta fix this door .
- Yeah , I will ."
1653,Agreeing,0.9257,7355603,"- Yeah , I will .",2419151,"- All the butchers and bakers , and the candlestick makers , are all buying land in Grapefruit Acres . Come to the sunny southland , where love and life are just grand . Now why pay rent ? Spend every cent !
- Come on and march with the band . You 'll be wealthy and wise , under Florida skies . Join the butchers and bakers , and the candlestick makers , who make their pile buying Grapefruit , Grapefruit , Grapefruit ... Grapefruit Acres .
- Oh , honey . I found out I was leaving only five minutes ago .
- Florida . Yeah .
- I won 't be back for two whole weeks .
- Come along with me .
- We 'll get married down there . We 'll make it a real honeymoon .
- Well there 's plenty of time .
- The Dixie Flyer doesn 't leave for 20 minutes .
- You don 't love me . Of course I love you . But I just can 't get ready in time .
- Alright . We 'll be married just as soon as you get back .
- It 's a promise .
- Be sure and write me every day , honey .
- Yeah , I will ."
1654,Agreeing,0.9255,6613537,"- Oh , that 's really bad .",4412328,"- Oh , I 'm sorry . Would you like one ?
- I 'll smoke it later when I 'm off duty . Thank you .
- You probably have a couple of roommates , huh ?
- Beautiful day . Yes , but I think it might rain later .
- No , no . Red sky in the morning , sailor takes warning . Red sky at night , sailor 's delight . It was a red sky last night . I never heard that before . I learned it in the Boy Scouts .
- You were a Boy Scout ? So was I . Really ?
- Yes . I had 19 merit badges . I had 20 . I was working on my 20th when the government abolished scouting and sent me into the Hitler Youth instead .
- Werner , you think you 'll stay in the army after the war ?
- No . I 'm not a well man . And my teeth ... Your teeth ?
- Yes . I could tell you stories about my teeth that would make your hair stand on end . Our dentist here is a butcher . But don 't tell anyone I said so . It 's a soldier 's right to complain .
- Maybe in your army , but here ?
- One little criticism , and ... to the Russian front .
- Is that so ? Terrible .
- That 's terrible ."
1655,Agreeing,0.9255,6613537,"- Oh , that 's really bad .",6979237,"- Oh , I 'm sorry . Would you like one ?
- I 'll smoke it later when I 'm off duty . Thank you .
- You probably have a couple of roommates , huh ?
- Beautiful day . Yes , but I think it might rain later .
- No , no . Red sky in the morning , sailor takes warning . Red sky at night , sailor 's delight . It was a red sky last night . I never heard that before . I learned it in the Boy Scouts .
- You were a Boy Scout ? So was I. Really ?
- Yes . I had 19 merit badges . I had 20 . I was working on my 20th when the government abolished scouting and sent me into the Hitler Youth instead .
- Werner , you think you 'll stay in the army after the war ?
- No . I 'm not a well man . And my teeth ... Your teeth ?
- Yes . I could tell you stories about my teeth that would make your hair stand on end . Our dentist here is a butcher . But don 't tell anyone I said so . It 's a soldier 's right to complain .
- Maybe in your army , but here ?
- One little criticism , and ... to the Russian front .
- Is that so ? Terrible .
- That 's terrible ."
1656,Agreeing,0.9255,915228,- Yeah I know .,4283290,"- okay I got you , I got you .
- Yeah , yeah . I know.I know ."
1657,Agreeing,0.9255,8765039,"- All of a sudden , I don 't know what to say .
- Neither do I.",8453089,"- Did you get home before me ?
- I couldn 't have . Could I ?
- No , I don 't remember .
- Neither do I !"
1658,Agreeing,0.9254,797942,"- Yeah , the same .",5294107,"- I got you covered .
- Yeah , no problem . Same place as before , right ?
- Same place ."
1659,Agreeing,0.9254,7526221,- That 's right . Very good !,8143411,"- High . Smile .
- Very good !"
1660,Agreeing,0.9254,3169022,- I understand .,4222845,"- I only need to raise my hand , and your head will go to pieces like a melon .
- I understand ."
1661,Agreeing,0.9253,7526221,- That 's right . Very good !,2886182,"- So shoot the picture . Now .
- Oh , very good ."
1662,Agreeing,0.9253,372810,- I think you 're right .,4642129,"- I like that Trevor . Think he 's gonna be a good fella for us .
- I think you 're right ."
1663,Agreeing,0.9253,950570,"- Yeah , I will .",6291000,"- Sorry , I don 't have time to eat . This is for me .
- Oh . I-I could whip something up for you .
- I can 't . I 'm slammed today . I 've got corporate sponsors coming to see Ginny pitch .
- Hey , um , just confirming , we can 't ... Relax , I 'm not gonna say anything . Although I don 't know why . We 're both single and consenting . Ginny 's a big girl . She still carries your rookie card and had your poster on her wall .
- Really ? She had me on her wall ?
- I 'll see you around .
- Yeah , you will ."
1664,Agreeing,0.9252,6613537,"- Oh , that 's really bad .",8462420,"- He 's missing , huh ? Yeah .
- Well , that 's just too bad ."
1665,Agreeing,0.9252,6613537,"- Oh , that 's really bad .",4404099,"- It 's a terrible thing to beg for your life .
- Terrible ."
1666,Agreeing,0.9251,353572,- I think you 're right .,6823971,"- She told you that ? Did you hear that ?
- Yeah , I think you 're right ."
1667,Agreeing,0.925,797942,"- Yeah , the same .",4029815,"- Hmm ... the one in front looks quite familiar ...
- Yeah , same here ..."
1668,Agreeing,0.925,7355603,"- Yeah , I will .",2485307,"- Gee , can I keep this ?
- Sure . Keep it and read it , Harv .
- Yeah , I will ."
1669,Agreeing,0.925,8055869,- I WILL ALWAYS ...,3180947,"- All through dinner , I just ... I wanted to touch you . I wanted to hold you .
- You must never worry .
- I 'll always be there ."
1670,Agreeing,0.9249,7526221,- That 's right . Very good !,1169781,"- I just have to take off my glasses . I think it 's an improvement . It looks reddish to me .
- But are you happy with it ? Yeah .
- Well , that 's good ."
1671,Agreeing,0.9249,6613537,"- Oh , that 's really bad .",7275300,"- How 's the foot ?
- Bad is it ?
- Yeah , it 's terrible ."
1672,Agreeing,0.9249,6613537,"- Oh , that 's really bad .",2168972,"- I chained up this horrible hand and I threw the body in a walled prison .
- What you told me is terrible . Yes .
- Horrible ."
1673,Agreeing,0.9249,3169022,- I understand .,3986500,"- To be honest , the boy must absolutely come and see me .
- I see ... I understand ."
1674,Agreeing,0.9248,5098307,"- So , did you talk to him ?
- yeah .",8700053,"- HEY ... YOU OKAY ? YOU CAME BACK .
- OF COURSE I DID .
- OKAY , DON 'T MOVE TOO MUCH , ALL RIGHT ? I 'M GONNA GO FIND THE HOSTAGES .
- OKAY ?
- YEAH ."
1675,Agreeing,0.9247,7526221,- That 's right . Very good !,4370361,"- You are beautiful . Beautiful . What ?
- You don 't know any English ? Just Swedish .
- You look so strong . Can I feel your muscles ? Make an effort .
- Like that ! Wow that was something !
- That is good ..."
1676,Agreeing,0.9245,6613537,"- Oh , that 's really bad .",2997539,"- They hav e no sense of cleanliness . They scatter things and make a mess .
- Too bad !"
1677,Agreeing,0.9244,7526221,- That 's right . Very good !,8528823,"- Don 't get me wrong , you guys are great . It 's just really early .
- That 's good stuff ."
1678,Agreeing,0.9243,7526221,- That 's right . Very good !,3036071,"- Hello ? Hi , Damon .
- Hi , Dad . How are you doing ? How 's camp ?
- Pretty good . Yeah ? Did you get any hits ?
- A couple . That 's good .
- That 's really good ."
1679,Agreeing,0.9243,3169022,- I understand .,2689434,"- I just couldn 't leave it there all alone .
- I understand ."
1680,Agreeing,0.9243,915228,- Yeah I know .,2642317,"- Ben Cartwright come here one night with his son Adam , and they were boiling mad . They claimed Pa had been buying mavericks stolen off their Ponderosa . They went out back where Pa and his hired hand , Deuce Martin , were cutting wood . I could hear them arguing . And then there was a shooting .
- Well , if you knew what it was like to have someone killed in such a crazy way like that ...
- I do know .
- I know very well ."
1681,Agreeing,0.9242,7526221,- That 's right . Very good !,6758968,"- Don Juan . Your Grace .
- You sent for me , I believe . Yes .
- Yes , a matter of some importance I wish to discuss with you . Now , won 't you be seated ?
- I was greatly pleased by the exhibition yesterday . So pleased , in fact , that I feel you should be rewarded . I 've prepared a commission , which will give you considerable rank in His Majesty 's navy . It also assures you of the king 's favor and my own . Somehow I feel that Your Grace is not in the habit of dispensing favors without expecting something in return .
- You are quite right . Yes . You have achieved some popularity since you have been at the academy . And I think we should utilize this in the service of our country .
- Consequently , I have certain ideas that I should like you to carry out .
- May I hear them ? You may indeed .
- Proceed to enlarge the academy . Increase the number of young men of military age and add those subjects which will qualify them for immediate enlistment in His Majesty 's navy . We will discuss the details later . In the meantime , here is your commission .
- Incidentally , I was very impressed by your general technique yesterday .
- Very good .
- Very good , yes . It was quite good ."
1682,Agreeing,0.9241,7526221,- That 's right . Very good !,4795001,"- You know I love you , right ? You do ?
- Course I do .
- That 's good , then ."
1683,Agreeing,0.9241,7526221,- That 's right . Very good !,904987,"- Ah , you 're back . Lawrence is in bed . Thought you were staying at your flat . Yeah , we were , but I think when it came to it he preferred to sleep in his own bed .
- So ... I bought him some noise-cancelling headphones and I think those along with the earplugs when she starts ... .. might help .
- Has she not ... ? No , not yet , but she will . It 's only because she 's been in the car .
- Do you want a glass of wine ? No , I 'm going to bed .
- How was Gillian ?
- Fine . Good .
- Good . That 's good ."
1684,Agreeing,0.9241,7526221,- That 's right . Very good !,7748315,"- l didn 't realize when you bought beef futures you actually took delivery of beef . l had my butcher save me the trip . Anton 's coming overfor dinner .
- How 's it going with you two ?
- Good , I think .
- Yeah , good ."
1685,Agreeing,0.924,7526221,- That 's right . Very good !,5384352,"- Good Morning .
- You 're good ."
1686,Agreeing,0.9239,797942,"- Yeah , the same .",7242036,"- Oh , no , that 's very gloomy .
- What 's the next song ?
- That 's the same .
- All very similar ."
1687,Agreeing,0.9239,7526221,- That 's right . Very good !,1627590,"- Shea ! That is the way to work out your issues , Shea !
- Yeah , that was good ."
1688,Agreeing,0.9238,7526221,- That 's right . Very good !,4105536,"- Not too tough ? Piece of cake .
- That 's cool .
- You 're getting good .
- Fucking good !"
1689,Agreeing,0.9238,8055869,- I WILL ALWAYS ...,251942,"- Kaew ... Always remember that I love you .
- I 'll always do ."
1690,Agreeing,0.9238,3169022,- I understand .,2198536,"- It 's alright . But you know that , he wanted to die rather than be taken alive .
- I understand ."
1691,Agreeing,0.9237,6613537,"- Oh , that 's really bad .",872716,"- Rayburn didn 't turn up . Doesn 't answer , hasn 't called .
- Well , that 's too bad ."
1692,Agreeing,0.9237,6613537,"- Oh , that 's really bad .",5483827,"- Ty ... how much do they actually know ? Did you use the same excuse ?
- I told them that I found her in my ice carving room ... that she must have gone sleep walking .
- Good , mate .
- No , not good .
- This is way worse ... way , way worse !"
1693,Agreeing,0.9236,5346512,"- It 's- - would you like a cup of tea ?
- That 'd be lovely .",6423795,"- Well , we 'll have a nice little cup of tea first . Come in the kitchen , it 's cosier in there .
- Oh , that 'll be lovely ."
1694,Agreeing,0.9236,6613537,"- Oh , that 's really bad .",7580035,"- That hurts .
- I hate that !"
1695,Agreeing,0.9235,7526221,- That 's right . Very good !,7100180,"- Ooh . Okay , one more . Here we go .
- Very good ... good ."
1696,Agreeing,0.9235,7526221,- That 's right . Very good !,1333042,"- I like a ... a little closer than that .
- That 's good , that 's good ."
1697,Agreeing,0.9235,6613537,"- Oh , that 's really bad .",8070877,"- you are in the samll office too ?
- it 's bad"
1698,Agreeing,0.9235,7526221,- That 's right . Very good !,2661821,"- Good one , Ray .
- Really good ."
1699,Agreeing,0.9234,950570,"- Yeah , I will .",8429498,"- Matt , you comin ' ?
- No , I think I 've had Shorty 's teachin ' me how to work on cars .
- Well , good . At least I won 't have to change the sign again , then .
- Thanks , buddy . I love ya .
- You look out for her .
- Yeah , I will ."
1700,Agreeing,0.9234,7526221,- That 's right . Very good !,5600619,"- Nice strategy there .
- That 's pretty good ."
1701,Agreeing,0.9233,7355603,"- Yeah , I will .",1857961,"- Want me to call the probation people ? No , don 't call them . I 'll be back next week , the latest .
- I 'm sure she 'll be all right .
- Let me know , huh ?
- Yeah , I will ."
1702,Agreeing,0.9233,7526221,- That 's right . Very good !,7309647,"- Come on , big jump . Coming ! Ooh !
- Oh ! That was good ."
1703,Agreeing,0.9233,7526221,- That 's right . Very good !,8001803,"- Okay . Good morning , everyone . My name is Sarah , and on behalf of the Point Pleasant Historical Society ... I would like to take you on a walk through the fascinating history of our town .
- Oh . Sarah . Mr. Boyd . It 's good to see you again .
- Really good ."
1704,Agreeing,0.9232,7526221,- That 's right . Very good !,6902019,"- Heribert ! Herribeeeeert !
- Thank you so much , my friend !
- That 's good !"
1705,Agreeing,0.9232,797942,"- Yeah , the same .",1249716,"- This one . Helping to Die .
- that 's the same ."
1706,Agreeing,0.9232,6613537,"- Oh , that 's really bad .",5369344,"- Not to change the subject , but have you had cheese today ?
- I don 't think so . I took this tantric class on the sacred spot massage .
- Would you let me ... help you release some of that e-bay tension ?
- Babe , you could show Le Corbusier the golden ratio in a Frank Gehry . Now , just relax and trust me .
- Ooops , sorry !
- My bad ."
1707,Agreeing,0.9232,6613537,"- Oh , that 's really bad .",8109268,"- Drat !
- Too bad ."
1708,Agreeing,0.9231,7526221,- That 's right . Very good !,769362,"- You 're really great .
- Her work is really nice .
- Really good !"
1709,Agreeing,0.923,7526221,- That 's right . Very good !,4811264,"- WELCOME TO PHNOM PENH , CAMBODIA .
- THANK YOU . THANK YOU VERY MUCH . SAM AND DAN , YOU ARE TEAM NUMBER TWO !
- OH , NO , ARE YOU SERIOUS ?
- LOOK AT THIS , WE 'VE GOT ANOTHER TEAM . YOU GOT IT DOWN .
- FLIGHT TIME AND BIG EASY YOU ARE TEAM NUMBER THREE .
- THAT 'S GOOD ."
1710,Agreeing,0.923,7526221,- That 's right . Very good !,6239461,"- Made you breakfast . I 'm the one who 's supposed to be taking care of you .
- Heh . Come here for a minute .
- Well you 're feeling better .
- Much . That 's good ."
1711,Agreeing,0.9228,915228,- Yeah I know .,7566590,"- SHERIFF ... I 'M GONNA TAKE ... MY BROTHER HOME ... AND I 'M COMING RIGHT BACK HERE ... AND I WILL NOT LEAVE PANANG ... UNTIL YOU 'RE WITH ME .
- I KNOW , BETH .
- I KNOW ."
1712,Agreeing,0.9228,2061843,"- Isn 't this nice ?
- Yeah , it 's great .",7739384,"- Good food , huh ?
- Yeah , it 's great ."
